returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
wildlife photography courses near me,,wildlife photography courses near me,Nature and animals: Wildlife-photography workshops,90,HIGH,93,0.7471,0.4036,0.9074,2025-august:110|2025-september:110|2025-october:90|2025-november:110|2025-december:110|2026-january:110|2026-february:70|2026-march:70|2026-april:50|2026-may:70|2026-june:90|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
adult swimming club near me,,adult swimming club near me,Outdoor and endurance: Swimming clubs,70,LOW,7,0.0000,0.0000,0.0000,2025-august:90|2025-september:70|2025-october:70|2025-november:70|2025-december:50|2026-january:70|2026-february:70|2026-march:50|2026-april:50|2026-may:50|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bookbinding workshop near me,,bookbinding workshop near me,Craft and making: Bookbinding,70,MEDIUM,51,2.0971,0.2788,1.4828,2025-august:40|2025-september:40|2025-october:50|2025-november:50|2025-december:50|2026-january:70|2026-february:90|2026-march:90|2026-april:70|2026-may:70|2026-june:70|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cabaret shows near me,,cabaret shows near me,Live culture: Cabaret,70,MEDIUM,34,1.3310,0.3884,1.6108,2025-august:110|2025-september:90|2025-october:110|2025-november:90|2025-december:90|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:50|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
cinema club near me,,cinema club near me,Live culture: Film clubs,70,LOW,2,0.3138,0.0000,0.0000,2025-august:50|2025-september:70|2025-october:90|2025-november:90|2025-december:50|2026-january:90|2026-february:50|2026-march:70|2026-april:70|2026-may:70|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dance workout near me,,dance workout near me,Fitness and mind-body: Dance fitness,70,LOW,22,1.2104,0.4806,0.9632,2025-august:70|2025-september:90|2025-october:70|2025-november:50|2025-december:40|2026-january:110|2026-february:70|2026-march:70|2026-april:70|2026-may:50|2026-june:40|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
detox retreat near me,,detox retreat near me,"Wellness, spa and retreats: Detox retreats",70,LOW,9,0.0000,0.0000,0.0000,2025-august:90|2025-september:50|2025-october:70|2025-november:90|2025-december:50|2026-january:70|2026-february:70|2026-march:70|2026-april:70|2026-may:90|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
drag events near me,,drag events near me,Live culture: Drag shows,70,LOW,9,1.4372,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:70|2025-november:70|2025-december:50|2026-january:90|2026-february:70|2026-march:90|2026-april:50|2026-may:70|2026-june:70|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
embroidery workshops near me,,embroidery workshops near me,Craft and making: Embroidery workshops,70,HIGH,85,0.7009,0.3298,0.7639,2025-august:70|2025-september:50|2025-october:70|2025-november:90|2025-december:50|2026-january:90|2026-february:70|2026-march:70|2026-april:70|2026-may:70|2026-june:70|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
football groups near me,,football groups near me,Racket and team sport: Social football,70,LOW,15,0.5181,0.1940,0.9641,2025-august:70|2025-september:90|2025-october:90|2025-november:70|2025-december:50|2026-january:70|2026-february:70|2026-march:90|2026-april:70|2026-may:50|2026-june:90|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
foraging walks near me,,foraging walks near me,Nature and animals: Foraging courses,70,HIGH,87,0.7730,0.2704,1.1640,2025-august:70|2025-september:140|2025-october:110|2025-november:40|2025-december:40|2026-january:30|2026-february:40|2026-march:70|2026-april:70|2026-may:50|2026-june:40|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
guided walks near me,,guided walks near me,"Ideas, books and learning: Guided walking tours",70,LOW,29,1.3023,0.3639,1.4367,2025-august:90|2025-september:70|2025-october:90|2025-november:50|2025-december:50|2026-january:90|2026-february:110|2026-march:110|2026-april:70|2026-may:70|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
philosophy groups near me,,philosophy groups near me,"Ideas, books and learning: Philosophy groups",70,LOW,4,0.0000,0.0000,0.0000,2025-august:50|2025-september:70|2025-october:70|2025-november:50|2025-december:70|2026-january:90|2026-february:70|2026-march:50|2026-april:50|2026-may:50|2026-june:70|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
poetry events near me,,poetry events near me,Live culture: Poetry nights,70,LOW,4,4.5571,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:90|2025-november:70|2025-december:40|2026-january:70|2026-february:50|2026-march:70|2026-april:40|2026-may:50|2026-june:70|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
rounders clubs near me,,rounders clubs near me,Racket and team sport: Rounders,70,LOW,0,0.0000,0.0000,0.0000,2025-august:70|2025-september:40|2025-october:40|2025-november:30|2025-december:10|2026-january:30|2026-february:20|2026-march:50|2026-april:110|2026-may:110|2026-june:140|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sauna sessions near me,,sauna sessions near me,Fitness and mind-body: Sauna sessions,70,MEDIUM,41,0.9736,0.5961,1.0737,2025-august:50|2025-september:50|2025-october:50|2025-november:70|2025-december:70|2026-january:90|2026-february:70|2026-march:70|2026-april:50|2026-may:50|2026-june:40|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
screen printing workshop near me,,screen printing workshop near me,Craft and making: Screen printing,70,HIGH,85,0.6974,0.2428,1.1526,2025-august:70|2025-september:50|2025-october:90|2025-november:90|2025-december:50|2026-january:70|2026-february:50|2026-march:50|2026-april:50|2026-may:50|2026-june:70|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silent disco events near me,,silent disco events near me,Community and alternative: Silent discos,70,LOW,11,2.9611,0.5262,2.3966,2025-august:70|2025-september:90|2025-october:90|2025-november:70|2025-december:40|2026-january:90|2026-february:70|2026-march:70|2026-april:70|2026-may:70|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
soap making workshop near me,,soap making workshop near me,Craft and making: Soap making,70,HIGH,100,0.5901,0.1883,1.0233,2025-august:70|2025-september:90|2025-october:90|2025-november:70|2025-december:70|2026-january:90|2026-february:70|2026-march:140|2026-april:50|2026-may:50|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social football near me,,social football near me,Racket and team sport: Social football,70,LOW,13,0.7817,0.3667,1.0242,2025-august:110|2025-september:110|2025-october:110|2025-november:70|2025-december:50|2026-january:50|2026-february:40|2026-march:70|2026-april:70|2026-may:70|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
softball clubs near me,,softball clubs near me,Racket and team sport: Softball,70,LOW,2,1.8480,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:50|2025-november:40|2025-december:20|2026-january:50|2026-february:20|2026-march:40|2026-april:90|2026-may:110|2026-june:110|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
surf clubs near me,,surf clubs near me,Outdoor and endurance: Surfing,70,LOW,13,0.6500,0.2771,0.8661,2025-august:170|2025-september:90|2025-october:50|2025-november:50|2025-december:50|2026-january:70|2026-february:50|2026-march:50|2026-april:70|2026-may:90|2026-june:70|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tea tasting near me,,tea tasting near me,Food and drink: Tea tasting,70,HIGH,92,0.2378,0.4649,1.0736,2025-august:90|2025-september:90|2025-october:70|2025-november:70|2025-december:90|2026-january:70|2026-february:70|2026-march:90|2026-april:70|2026-may:40|2026-june:40|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tufting workshop near me,,tufting workshop near me,Craft and making: Tufting,70,HIGH,100,0.3130,0.2764,0.7702,2025-august:90|2025-september:90|2025-october:90|2025-november:70|2025-december:70|2026-january:140|2026-february:110|2026-march:70|2026-april:70|2026-may:40|2026-june:30|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
art retreat near me,,art retreat near me,"Wellness, spa and retreats: Art retreats",50,MEDIUM,34,3.8683,0.1781,1.3296,2025-august:50|2025-september:50|2025-october:70|2025-november:30|2025-december:20|2026-january:50|2026-february:50|2026-march:50|2026-april:20|2026-may:50|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
astronomy groups near me,,astronomy groups near me,"Ideas, books and learning: Astronomy clubs",50,LOW,4,0.0000,0.0000,0.0000,2025-august:70|2025-september:70|2025-october:70|2025-november:70|2025-december:70|2026-january:90|2026-february:50|2026-march:50|2026-april:50|2026-may:30|2026-june:40|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
circus skills classes near me,,circus skills classes near me,Performance and dance: Circus skills,50,LOW,20,0.8597,0.4765,0.5783,2025-august:70|2025-september:50|2025-october:70|2025-november:40|2025-december:30|2026-january:50|2026-february:70|2026-march:40|2026-april:70|2026-may:50|2026-june:50|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
coffee workshop near me,,coffee workshop near me,Food and drink: Coffee workshops,50,HIGH,90,0.3393,0.2239,0.8569,2025-august:30|2025-september:40|2025-october:40|2025-november:50|2025-december:50|2026-january:50|2026-february:70|2026-march:50|2026-april:50|2026-may:40|2026-june:50|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
fermentation courses near me,,fermentation courses near me,Food and drink: Fermentation,50,HIGH,70,0.9961,0.2611,0.5860,2025-august:50|2025-september:70|2025-october:50|2025-november:70|2025-december:50|2026-january:70|2026-february:50|2026-march:40|2026-april:30|2026-may:20|2026-june:30|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
korfball near me,,korfball near me,Racket and team sport: Korfball,50,LOW,0,0.0000,0.0000,0.0000,2025-august:50|2025-september:70|2025-october:70|2025-november:40|2025-december:30|2026-january:50|2026-february:50|2026-march:70|2026-april:40|2026-may:50|2026-june:40|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
public lectures near me,,public lectures near me,"Ideas, books and learning: Public lectures",50,LOW,3,0.0000,0.0000,0.0000,2025-august:70|2025-september:50|2025-october:50|2025-november:50|2025-december:50|2026-january:70|2026-february:50|2026-march:50|2026-april:40|2026-may:50|2026-june:70|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
robotics classes near me,,robotics classes near me,Technical and maker hobbies: Robotics workshops,50,MEDIUM,37,1.7290,0.7031,2.0197,2025-august:50|2025-september:90|2025-october:70|2025-november:50|2025-december:70|2026-january:40|2026-february:40|2026-march:50|2026-april:50|2026-may:20|2026-june:30|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
rug tufting near me,,rug tufting near me,Craft and making: Tufting,50,HIGH,92,0.3817,0.2903,0.7495,2025-august:70|2025-september:40|2025-october:50|2025-november:50|2025-december:70|2026-january:90|2026-february:50|2026-march:70|2026-april:50|2026-may:50|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
shuffleboard bar near me,,shuffleboard bar near me,Competitive experiences: Shuffleboard,50,LOW,24,0.5767,0.0000,0.0000,2025-august:40|2025-september:70|2025-october:70|2025-november:50|2025-december:50|2026-january:50|2026-february:70|2026-march:70|2026-april:20|2026-may:30|2026-june:20|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
silversmithing workshop near me,,silversmithing workshop near me,Craft and making: Silversmithing,50,HIGH,97,0.9424,0.2508,0.9772,2025-august:70|2025-september:70|2025-october:50|2025-november:50|2025-december:50|2026-january:90|2026-february:90|2026-march:40|2026-april:50|2026-may:40|2026-june:50|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
writing retreat near me,,writing retreat near me,"Wellness, spa and retreats: Writing retreats",50,MEDIUM,35,1.1819,0.2267,0.8692,2025-august:50|2025-september:40|2025-october:40|2025-november:50|2025-december:40|2026-january:70|2026-february:90|2026-march:50|2026-april:70|2026-may:70|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
adult drawing classes near me,,adult drawing classes near me,Craft and making: Drawing classes,40,LOW,16,0.0000,0.3264,0.8031,2025-august:40|2025-september:40|2025-october:50|2025-november:50|2025-december:30|2026-january:50|2026-february:40|2026-march:40|2026-april:20|2026-may:30|2026-june:20|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
board game events near me,,board game events near me,Tabletop and games: Board-game nights,40,LOW,2,0.0000,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:40|2025-november:40|2025-december:30|2026-january:40|2026-february:50|2026-march:40|2026-april:30|2026-may:40|2026-june:40|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
burlesque workshop,,burlesque workshop,Performance and dance: Burlesque classes,40,LOW,4,0.0000,0.0000,0.0000,2025-august:20|2025-september:30|2025-october:50|2025-november:30|2025-december:30|2026-january:40|2026-february:50|2026-march:40|2026-april:50|2026-may:30|2026-june:30|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
comedy classes near me,,comedy classes near me,Performance and dance: Comedy classes,40,LOW,22,0.0000,0.3161,1.0754,2025-august:40|2025-september:50|2025-october:30|2025-november:40|2025-december:30|2026-january:40|2026-february:50|2026-march:40|2026-april:40|2026-may:30|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
friendship events,,friendship events,Social and relationship: Friendship events,40,LOW,1,0.0000,0.0000,0.0000,2025-august:40|2025-september:50|2025-october:40|2025-november:40|2025-december:30|2026-january:40|2026-february:90|2026-march:40|2026-april:30|2026-may:40|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
language exchange near me,,language exchange near me,Social and relationship: Language exchange,40,LOW,25,0.7994,6.9209,26.7488,2025-august:70|2025-september:70|2025-october:50|2025-november:30|2025-december:30|2026-january:50|2026-february:40|2026-march:20|2026-april:30|2026-may:30|2026-june:30|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
model making clubs near me,,model making clubs near me,Technical and maker hobbies: Model-making clubs,40,LOW,0,0.0000,0.0000,0.0000,2025-august:40|2025-september:40|2025-october:70|2025-november:40|2025-december:40|2026-january:50|2026-february:40|2026-march:30|2026-april:30|2026-may:30|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
perfume making workshop near me,,perfume making workshop near me,Craft and making: Perfume making,40,HIGH,100,0.8306,0.3643,1.2515,2025-august:30|2025-september:20|2025-october:30|2025-november:40|2025-december:50|2026-january:70|2026-february:40|2026-march:50|2026-april:30|2026-may:30|2026-june:40|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
philosophy club near me,,philosophy club near me,"Ideas, books and learning: Philosophy groups",40,LOW,3,0.0000,0.0000,0.0000,2025-august:30|2025-september:40|2025-october:70|2025-november:40|2025-december:30|2026-january:50|2026-february:50|2026-march:40|2026-april:50|2026-may:40|2026-june:30|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
printmaking classes near me,,printmaking classes near me,Craft and making: Printmaking,40,MEDIUM,42,1.4241,0.2755,1.3590,2025-august:50|2025-september:70|2025-october:40|2025-november:30|2025-december:30|2026-january:30|2026-february:30|2026-march:40|2026-april:20|2026-may:20|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
science talks near me,,science talks near me,"Ideas, books and learning: Science talks",40,LOW,4,0.7104,0.0000,0.0000,2025-august:20|2025-september:50|2025-october:40|2025-november:50|2025-december:40|2026-january:30|2026-february:30|2026-march:30|2026-april:30|2026-may:30|2026-june:20|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sculpture workshop near me,,sculpture workshop near me,Craft and making: Sculpture,40,HIGH,80,0.6550,0.4872,2.6433,2025-august:30|2025-september:40|2025-october:40|2025-november:30|2025-december:30|2026-january:20|2026-february:50|2026-march:40|2026-april:30|2026-may:30|2026-june:40|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sober events near me,,sober events near me,Social and relationship: Sober socials,40,LOW,5,0.0000,0.0000,0.0000,2025-august:70|2025-september:50|2025-october:40|2025-november:30|2025-december:50|2026-january:50|2026-february:30|2026-march:40|2026-april:40|2026-may:30|2026-june:30|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wildlife photography workshops uk,,wildlife photography workshops uk,Nature and animals: Wildlife-photography workshops,40,HIGH,76,5.8879,0.8050,30.0015,2025-august:50|2025-september:20|2025-october:30|2025-november:40|2025-december:30|2026-january:40|2026-february:30|2026-march:40|2026-april:40|2026-may:50|2026-june:50|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
basket weaving workshop near me,,basket weaving workshop near me,Craft and making: Basket weaving,30,MEDIUM,46,0.2003,0.0000,0.0000,2025-august:40|2025-september:40|2025-october:30|2025-november:30|2025-december:30|2026-january:30|2026-february:40|2026-march:40|2026-april:30|2026-may:50|2026-june:30|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bouldering clubs near me,,bouldering clubs near me,Outdoor and endurance: Bouldering,30,LOW,9,0.0000,0.0000,0.0000,2025-august:40|2025-september:50|2025-october:50|2025-november:20|2025-december:20|2026-january:50|2026-february:30|2026-march:30|2026-april:30|2026-may:20|2026-june:30|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
circus workshop near me,,circus workshop near me,Performance and dance: Circus skills,30,MEDIUM,39,1.1059,0.4759,0.9985,2025-august:30|2025-september:20|2025-october:10|2025-november:20|2025-december:20|2026-january:30|2026-february:30|2026-march:50|2026-april:40|2026-may:40|2026-june:30|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
fitness retreat near me,,fitness retreat near me,"Wellness, spa and retreats: Fitness retreats",30,HIGH,68,1.0768,0.5267,1.0935,2025-august:30|2025-september:50|2025-october:40|2025-november:20|2025-december:30|2026-january:30|2026-february:30|2026-march:30|2026-april:10|2026-may:20|2026-june:20|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
quilting club near me,,quilting club near me,Craft and making: Quilting groups,30,LOW,2,0.0000,0.0000,0.0000,2025-august:50|2025-september:30|2025-october:40|2025-november:30|2025-december:20|2026-january:40|2026-february:30|2026-march:40|2026-april:30|2026-may:20|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
science events near me,,science events near me,"Ideas, books and learning: Science talks",30,LOW,4,0.0000,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:50|2025-november:20|2025-december:20|2026-january:30|2026-february:40|2026-march:20|2026-april:30|2026-may:20|2026-june:20|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social cricket near me,,social cricket near me,Racket and team sport: Cricket,30,LOW,6,0.1440,0.0000,0.0000,2025-august:50|2025-september:30|2025-october:10|2025-november:20|2025-december:10|2026-january:10|2026-february:10|2026-march:30|2026-april:40|2026-may:40|2026-june:30|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spoken word events near me,,spoken word events near me,Live culture: Spoken word,30,LOW,3,0.0000,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:20|2025-november:40|2025-december:20|2026-january:30|2026-february:30|2026-march:20|2026-april:20|2026-may:20|2026-june:20|2026-july:30,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
3d printing workshops near me,,3d printing workshops near me,Technical and maker hobbies: 3D-printing workshops,20,LOW,16,0.0000,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:20|2025-november:20|2025-december:30|2026-january:30|2026-february:20|2026-march:20|2026-april:20|2026-may:10|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
adult lego club near me,,adult lego club near me,Technical and maker hobbies: LEGO clubs,20,LOW,3,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:10|2025-december:50|2026-january:20|2026-february:30|2026-march:20|2026-april:10|2026-may:10|2026-june:10|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
dj workshops near me,,dj workshops near me,Performance and dance: DJ workshops,20,MEDIUM,47,2.2672,0.5774,2.1694,2025-august:20|2025-september:30|2025-october:20|2025-november:20|2025-december:20|2026-january:30|2026-february:10|2026-march:30|2026-april:10|2026-may:30|2026-june:20|2026-july:40,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
fermentation workshop near me,,fermentation workshop near me,Food and drink: Fermentation,20,MEDIUM,57,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:20|2025-december:30|2026-january:20|2026-february:20|2026-march:30|2026-april:20|2026-may:10|2026-june:10|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gaming tournaments near me,,gaming tournaments near me,Tabletop and games: Gaming tournaments,20,LOW,4,0.0000,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:20|2025-november:20|2025-december:10|2026-january:30|2026-february:20|2026-march:20|2026-april:10|2026-may:30|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
guided nature walks near me,,guided nature walks near me,Nature and animals: Nature walks,20,LOW,20,0.6980,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:20|2026-june:20|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
immersive theatre near me,,immersive theatre near me,Live culture: Immersive theatre,20,LOW,13,0.0139,0.0000,0.0000,2025-august:30|2025-september:30|2025-october:30|2025-november:20|2025-december:30|2026-january:20|2026-february:30|2026-march:20|2026-april:20|2026-may:10|2026-june:20|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
karaoke events near me,,karaoke events near me,Performance and dance: Karaoke,20,LOW,4,3.4893,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:30|2025-november:10|2025-december:20|2026-january:50|2026-february:20|2026-march:20|2026-april:20|2026-may:30|2026-june:20|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
korfball clubs near me,,korfball clubs near me,Racket and team sport: Korfball,20,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:30|2025-december:10|2026-january:20|2026-february:10|2026-march:20|2026-april:20|2026-may:10|2026-june:10|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mens retreat near me,,mens retreat near me,"Wellness, spa and retreats: Men's retreats",20,LOW,30,0.9404,0.3578,1.1617,2025-august:20|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:20|2026-february:10|2026-march:10|2026-april:10|2026-may:10|2026-june:10|2026-july:50,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
museum events near me,,museum events near me,"Ideas, books and learning: Museum events",20,LOW,9,0.3012,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:20|2025-november:30|2025-december:10|2026-january:20|2026-february:10|2026-march:20|2026-april:20|2026-may:30|2026-june:10|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
music jam near me,,music jam near me,Performance and dance: Music jam sessions,20,LOW,4,0.0000,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:20|2025-november:10|2025-december:20|2026-january:30|2026-february:10|2026-march:10|2026-april:30|2026-may:20|2026-june:10|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
phone free events,,phone free events,Community and alternative: Phone-free events,20,LOW,0,0.0000,0.0000,0.0000,2025-august:10|2025-september:10|2025-october:10|2025-november:20|2025-december:10|2026-january:20|2026-february:20|2026-march:30|2026-april:30|2026-may:30|2026-june:20|2026-july:10,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
social volleyball near me,,social volleyball near me,Racket and team sport: Volleyball,20,LOW,10,0.2655,0.0000,0.0000,2025-august:30|2025-september:20|2025-october:20|2025-november:10|2025-december:10|2026-january:20|2026-february:20|2026-march:10|2026-april:20|2026-may:20|2026-june:30|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
spoken word night,,spoken word night,Live culture: Spoken word,20,LOW,1,0.0000,0.0000,0.0000,2025-august:20|2025-september:20|2025-october:10|2025-november:20|2025-december:10|2026-january:30|2026-february:10|2026-march:20|2026-april:20|2026-may:20|2026-june:10|2026-july:20,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
