rank,city,family,format,explicit_keyword,explicit_average_monthly_searches,explicit_average_cpc_gbp,explicit_competition_index,local_geo_keyword,local_geo_average_monthly_searches,local_geo_average_cpc_gbp,local_geo_competition_index,comparative_liquidity_index_100,index_method,evidence_note,observed_at
330,Cardiff,"Wellness, spa and retreats",Yoga retreats,yoga retreats Cardiff,0,0.0000,0,yoga retreat near me,10,1.0108,86,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
331,Edinburgh,"Wellness, spa and retreats",Spa retreats,spa retreats Edinburgh,0,0.0000,0,spa retreat near me,10,0.2948,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
332,Edinburgh,Social and relationship,Speed dating,speed dating Edinburgh,0,0.0000,0,speed dating near me,10,1.8098,48,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
333,Edinburgh,"Wellness, spa and retreats",Yoga retreats,yoga retreats Edinburgh,0,0.0000,0,yoga retreat near me,10,0.5488,79,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
334,Glasgow,"Wellness, spa and retreats",Spa retreats,spa retreats Glasgow,0,0.0000,0,spa retreat near me,10,0.4300,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
335,Glasgow,Social and relationship,Speed dating,speed dating Glasgow,0,0.0000,0,speed dating near me,10,1.8202,63,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
336,Glasgow,"Wellness, spa and retreats",Yoga retreats,yoga retreats Glasgow,0,0.0000,0,yoga retreat near me,10,0.4336,52,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
337,Leeds,"Wellness, spa and retreats",Spa retreats,spa retreats Leeds,0,0.0000,0,spa retreat near me,10,0.6973,91,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
338,Leeds,"Wellness, spa and retreats",Yoga retreats,yoga retreats Leeds,0,0.0000,0,yoga retreat near me,10,1.0150,64,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
339,Liverpool,Social and relationship,Speed dating,speed dating Liverpool,0,0.0000,0,speed dating near me,10,1.2369,52,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
340,Manchester,"Wellness, spa and retreats",Yoga retreats,yoga retreats Manchester,0,0.0000,0,yoga retreat near me,10,0.9355,71,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
341,Newcastle,Social and relationship,Speed dating,speed dating Newcastle,0,0.0000,0,speed dating near me,10,4.1001,21,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
342,Nottingham,"Wellness, spa and retreats",Spa retreats,spa retreats Nottingham,0,0.0000,0,spa retreat near me,10,0.5071,54,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
343,Nottingham,Social and relationship,Speed dating,speed dating Nottingham,0,0.0000,0,speed dating near me,10,0.0000,24,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
344,Nottingham,Racket and team sport,Volleyball,volleyball clubs Nottingham,0,0.0000,0,volleyball clubs near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
345,Nottingham,"Wellness, spa and retreats",Yoga retreats,yoga retreats Nottingham,0,0.0000,0,yoga retreat near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
346,Reading,Craft and making,General art workshops,art workshops Reading,0,0.0000,0,art workshops near me,10,0.0000,25,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
347,Reading,Tabletop and games,Quiz nights,quiz night Reading,0,0.0000,0,quiz night near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
348,Reading,"Wellness, spa and retreats",Spa retreats,spa retreats Reading,0,0.0000,0,spa retreat near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
349,Reading,Social and relationship,Speed dating,speed dating Reading,0,0.0000,0,speed dating near me,10,0.0000,14,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
350,Reading,Racket and team sport,Volleyball,volleyball clubs Reading,0,0.0000,0,volleyball clubs near me,10,0.0000,3,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
351,Reading,"Wellness, spa and retreats",Yoga retreats,yoga retreats Reading,0,0.0000,0,yoga retreat near me,10,0.0000,86,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
352,Sheffield,"Wellness, spa and retreats",Spa retreats,spa retreats Sheffield,0,0.0000,0,spa retreat near me,10,0.3130,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
353,Sheffield,Social and relationship,Speed dating,speed dating Sheffield,0,0.0000,0,speed dating near me,10,1.6732,33,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
354,Sheffield,Racket and team sport,Volleyball,volleyball clubs Sheffield,0,0.0000,0,volleyball clubs near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
355,Sheffield,"Wellness, spa and retreats",Yoga retreats,yoga retreats Sheffield,0,0.0000,0,yoga retreat near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
356,Southampton,Nature and animals,Nature walks,nature walks Southampton,0,0.0000,0,nature walks near me,10,0.0484,8,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
357,Southampton,"Wellness, spa and retreats",Spa retreats,spa retreats Southampton,0,0.0000,0,spa retreat near me,10,1.5303,100,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
358,Southampton,Social and relationship,Speed dating,speed dating Southampton,0,0.0000,0,speed dating near me,10,0.0000,43,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
359,Southampton,Racket and team sport,Volleyball,volleyball clubs Southampton,0,0.0000,0,volleyball clubs near me,10,0.0000,0,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
360,Southampton,"Wellness, spa and retreats",Yoga retreats,yoga retreats Southampton,0,0.0000,0,yoga retreat near me,10,1.3996,79,12,50% log-normalized explicit-city volume plus 50% log-normalized local-geo volume; comparison only,Separate overlapping signals; do not add explicit and local-geo searches,2026-09-03
