rank,family,format,archetype,primary_keyword,returned_keyword,close_variant_group,primary_average_monthly_searches,support_keyword_observations,competition,competition_index,average_cpc_gbp,peak_month,peak_searches,low_month,low_searches,peak_to_low_ratio,demand_score_20,commercial_intent_rating_5,repeatability_rating_5,social_design_rating_5,operating_ease_rating_5,revenue_depth_rating_5,eventization_headroom_rating_5,launch_potential_score_100,decision,recommended_entry_model,intent_caveat,evidence_class,evidence_coverage,largest_unknown,observed_at
189,Food and drink,Cheese making,food_class,cheese making courses near me,cheese making courses near me,cheese making courses near me,170,cheese making experience:110,HIGH,100,0.9310,2025-november,260,2026-march,90,2.89,8,5,3,4,3,5,3,69,selective_or_watchlist,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
190,"Ideas, books and learning",Poetry workshops,technical_workshop,poetry workshops near me,poetry workshops near me,poetry workshops near me,170,poetry class near me:170,LOW,33,1.2937,2025-august,260,2025-december,140,1.86,8,4,3,4,3,5,4,69,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
191,Food and drink,Vegan cooking,food_class,vegan cooking classes near me,vegan cooking classes near me,vegan cooking classes near me,170,vegan cookery course:210,HIGH,100,1.0023,2025-august,260,2026-july,90,2.89,8,5,3,4,3,5,3,69,selective_or_watchlist,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
192,Nature and animals,Gardening workshops,nature_class,gardening workshops near me,gardening workshops near me,gardening workshops near me,140,gardening classes near me:880,HIGH,86,1.7402,2025-august,210,2025-november,90,2.33,8,4,3,4,4,4,4,69,selective_or_watchlist,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
193,Craft and making,Lino printing,portable_craft,lino printing workshop near me,lino printing workshop near me,lino printing workshop near me,140,lino printing course near me:140,HIGH,79,1.6195,2026-january,210,2026-july,70,3.00,8,4,3,4,4,4,4,69,selective_or_watchlist,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
194,Craft and making,Resin art,portable_craft,resin art classes near me,resin art classes near me,resin art classes near me,140,resin workshop near me:170,HIGH,100,1.3221,2025-september,210,2026-june,70,3.00,8,4,3,4,4,4,4,69,selective_or_watchlist,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
195,"Ideas, books and learning",Guided walking tours,hosted_content,walking tours near me,walking tours near me,walking tours near me,140,guided walks near me:70,MEDIUM,62,0.6135,2025-august,210,2025-november,110,1.91,8,4,3,3,5,4,4,68,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
196,"Ideas, books and learning",History talks,hosted_content,history talks near me,history talks near me,history talks near me,110,local history talks:10,LOW,2,16.3254,2025-september,140,2026-may,90,1.56,8,4,3,3,5,4,4,68,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
197,Performance and dance,Contemporary dance,fitness_class,contemporary dance classes near me,contemporary dance classes near me,contemporary dance classes near me,880,adult contemporary dance near me:10,LOW,17,1.0768,2025-september,1300,2026-april,590,2.20,12,5,5,2,4,4,1,67,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
198,Community and alternative,Clothes swaps,community_format,clothes swap near me,clothes swap near me,clothes swap near me,170,clothes swap events near me:10,LOW,1,0.0000,2025-september,210,2025-december,90,2.33,8,2,5,5,5,2,3,67,selective_or_watchlist,sponsor or venue-funded community layer rather than ticket-first,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
199,Craft and making,Bookbinding,portable_craft,bookbinding courses near me,bookbinding courses near me,bookbinding courses near me,90,bookbinding workshop near me:70,MEDIUM,59,0.9545,2025-august,140,2026-march,70,2.00,6,4,3,4,4,4,4,67,selective_or_watchlist,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
200,Food and drink,Chocolate making,food_class,chocolate making workshop near me,chocolate making workshop near me,chocolate making workshop near me,90,chocolate making experience:720,HIGH,94,0.4166,2025-november,140,2026-july,50,2.80,6,5,3,4,3,5,3,67,selective_or_watchlist,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
201,Technical and maker hobbies,DIY workshops,technical_workshop,diy workshops near me,diy workshops near me,diy workshops near me,90,diy classes near me:210,MEDIUM,63,0.7311,2026-january,110,2025-december,70,1.57,6,4,3,4,3,5,4,67,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
202,"Ideas, books and learning",Stargazing events,nature_class,stargazing events near me,stargazing events near me,stargazing events near me,90,stargazing near me:720,LOW,23,0.5979,2025-august,110,2026-may,50,2.20,6,4,3,4,4,4,4,67,selective_or_watchlist,guided session with a qualified facilitator and land partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
203,Craft and making,Embroidery workshops,portable_craft,embroidery workshops near me,embroidery workshops near me,embroidery workshops near me,70,embroidery classes near me:320,HIGH,85,0.7009,2025-november,90,2025-september,50,1.80,6,4,3,4,4,4,4,67,selective_or_watchlist,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
204,Food and drink,Fermentation,food_class,fermentation courses near me,fermentation courses near me,fermentation courses near me,50,fermentation workshop near me:20,HIGH,70,0.9961,2025-september,70,2026-may,20,3.50,6,5,3,4,3,5,3,67,selective_or_watchlist,licensed kitchen or hospitality partnership,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
205,Food and drink,Food tours,hosted_content,food tours near me,food tours near me,food tours near me,90,food walking tour near me:0,HIGH,97,2.0241,2025-september,210,2026-february,40,5.25,6,5,2,3,5,4,4,66,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
206,Live culture,Poetry nights,hosted_content,poetry night near me,poetry night near me,poetry night near me,90,poetry events near me:70,LOW,2,0.5944,2026-january,140,2025-december,50,2.80,6,4,3,3,5,4,4,66,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
207,"Ideas, books and learning",Public lectures,hosted_content,public lectures near me,public lectures near me,public lectures near me,50,public lectures:210,LOW,3,0.0000,2025-august,70,2026-april,40,1.75,6,4,3,3,5,4,4,66,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
208,Tabletop and games,Gaming tournaments,venue_entertainment,gaming tournaments near me,gaming tournaments near me,gaming tournaments near me,20,video game tournaments near me:10,LOW,4,0.0000,2025-august,30,2025-december,10,3.00,4,5,4,4,2,5,3,66,selective_or_watchlist,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
209,Social and relationship,Expat events,social_first,expat events near me,expat events near me,expat events near me,0,expat events:10,UNSPECIFIED,0,0.0000,,0,,0,,0,4,4,5,5,4,3,66,selective_or_watchlist,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
210,Social and relationship,Friendship events,social_first,friendship events near me,friendship events near me,friendship events near me,0,friendship events:40,UNSPECIFIED,0,0.0000,,0,,0,,0,4,4,5,5,4,3,66,selective_or_watchlist,owned hosted series in a partner venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
211,Fitness and mind-body,Mindfulness courses,fitness_class,mindfulness courses near me,mindfulness courses near me,mindfulness courses near me,480,mindfulness classes near me:480,MEDIUM,42,3.5769,2025-september,720,2026-july,260,2.77,10,5,5,2,4,4,1,65,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
212,Performance and dance,Street dance,fitness_class,adult street dance classes near me,adult street dance classes near me,adult street dance classes near me,390,street dance classes near me:1600,LOW,13,2.5911,2025-october,480,2025-august,390,1.23,10,5,5,2,4,4,1,65,selective_or_watchlist,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
213,Craft and making,Perfume making,portable_craft,perfume making workshop near me,perfume making workshop near me,perfume making workshop near me,40,perfume making experience:480,HIGH,100,0.8306,2026-january,70,2025-september,20,3.50,4,4,3,4,4,4,4,65,selective_or_watchlist,venue-partnered workshop series,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
214,Nature and animals,Wildlife-photography workshops,nature_class,wildlife photography workshops uk,wildlife photography workshops uk,wildlife photography workshops uk,40,wildlife photography courses near me:90,HIGH,76,5.8879,2025-august,50,2025-september,20,2.50,4,4,3,4,4,4,4,65,selective_or_watchlist,guided session with a qualified facilitator and land partner,Format-specific phrase still may contain informational or non-commercial intent,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
215,Technical and maker hobbies,3D-printing workshops,technical_workshop,3d printing workshops near me,3d printing workshops near me,3d printing workshops near me,20,3d printing course near me:170,LOW,16,0.0000,2025-december,30,2026-may,10,3.00,4,4,3,4,3,5,4,65,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
216,Performance and dance,DJ workshops,technical_workshop,dj workshops near me,dj workshops near me,dj workshops near me,20,dj course near me:320,MEDIUM,47,2.2672,2026-july,40,2026-february,10,4.00,4,4,3,4,3,5,4,65,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
217,Craft and making,Upcycling,technical_workshop,upcycling workshops near me,upcycling workshops near me,upcycling workshops near me,20,upcycling classes near me:10,HIGH,80,0.0000,2025-august,40,2025-december,10,4.00,4,4,3,4,3,5,4,65,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
218,Technical and maker hobbies,Coding workshops,technical_workshop,coding workshops near me,coding workshops near me,coding workshops near me,10,coding classes near me:260,LOW,18,0.0000,2025-august,10,2025-august,10,1.00,4,4,3,4,3,5,4,65,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
219,Technical and maker hobbies,Robotics workshops,technical_workshop,robotics workshops near me,robotics workshops near me,robotics workshops near me,10,robotics classes near me:50,LOW,7,0.0000,2025-august,10,2025-august,10,1.00,4,4,3,4,3,5,4,65,selective_or_watchlist,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
220,Live culture,Outdoor cinema,spectator_culture,outdoor cinema near me,outdoor cinema near me,outdoor cinema near me,4400,open air cinema near me:720,LOW,6,0.7364,2025-august,12100,2025-december,880,13.75,16,5,2,1,2,4,4,64,selective_or_watchlist,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
221,"Ideas, books and learning",Science talks,hosted_content,science talks near me,science talks near me,science talks near me,40,science events near me:30,LOW,4,0.7104,2025-september,50,2025-august,20,2.50,4,4,3,3,5,4,4,64,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
222,Live culture,Spoken word,hosted_content,spoken word events near me,spoken word events near me,spoken word events near me,30,spoken word night:20,LOW,3,0.0000,2025-november,40,2025-august,20,2.00,4,4,3,3,5,4,4,64,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
223,Live culture,Storytelling nights,hosted_content,storytelling events near me,storytelling events near me,storytelling events near me,10,storytelling night:10,LOW,0,0.0000,2025-november,20,2025-august,10,2.00,4,4,3,3,5,4,4,64,selective_or_watchlist,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
224,Tabletop and games,Esports events,venue_entertainment,esports events near me,esports events near me,esports events near me,10,esports tournaments near me:10,LOW,5,0.0000,2025-december,20,2025-august,10,2.00,4,5,3,4,2,5,3,63,selective_or_watchlist,partner with the asset owner; do not build the venue first,May resolve to venue or facility booking rather than a managed social event,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
225,"Wellness, spa and retreats",Spa days,spa_asset,spa day near me,spa day near me,spa day near me|spa days near me,60500,spa days near me:60500,HIGH,100,0.5964,2026-january,74000,2026-april,49500,1.49,20,5,2,2,1,5,1,62,selective_or_watchlist,package existing spa inventory; do not build the asset,Measures spa inventory demand rather than demand for a hosted social cohort,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
226,"Wellness, spa and retreats",Spa breaks,spa_asset,spa breaks uk,spa breaks uk,spa breaks uk,27100,spa break near me:14800,HIGH,100,1.2467,2025-august,33100,2025-november,22200,1.49,20,5,2,2,1,5,1,62,selective_or_watchlist,package existing spa inventory; do not build the asset,Measures spa inventory demand rather than demand for a hosted social cohort,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
227,Community and alternative,Litter-picking groups,community_format,litter picking groups near me,litter picking groups near me,litter picking groups near me,110,litter picking events near me:10,LOW,5,8.3398,2026-january,210,2025-november,50,4.20,8,1,5,5,5,1,3,62,selective_or_watchlist,sponsor or venue-funded community layer rather than ticket-first,Participation demand is real but consumer ticket intent is weak,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
228,Nature and animals,Allotment groups,community_format,allotments near me,allotments near me,allotments near me,12100,allotment groups near me:0,LOW,1,3.7319,2025-august,14800,2025-december,5400,2.74,20,1,5,2,5,2,1,61,deprioritise_as_launch_wedge,sponsor or venue-funded community layer rather than ticket-first,Dominated by plot and tenancy discovery rather than paid events,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
229,Fitness and mind-body,Cold-water therapy,fitness_class,cold water therapy near me,cold water therapy near me,cold water therapy near me,210,cold plunge near me:1600,LOW,32,1.1808,2025-august,320,2026-march,170,1.88,10,5,5,2,2,4,1,61,deprioritise_as_launch_wedge,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
230,Technical and maker hobbies,Electronics workshops,technical_workshop,electronics workshops near me,electronics workshops near me,electronics workshops near me,0,electronics courses near me:170,UNSPECIFIED,0,0.0000,,0,,0,,0,4,3,4,3,5,4,61,deprioritise_as_launch_wedge,short course in a maker or education venue,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
231,Live culture,Theatre,spectator_culture,theatre near me,theatre near me,theatre near me,33100,theatre tickets near me:170,LOW,28,0.6414,2025-september,40500,2026-april,27100,1.49,20,5,2,1,1,4,2,60,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
232,Live culture,Live music,spectator_culture,live music near me,live music near me,live music near me,22200,live music events near me:390,LOW,23,0.2455,2025-august,33100,2025-november,22200,1.49,20,5,2,1,1,4,2,60,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
233,Live culture,Drag shows,spectator_culture,drag show near me,drag show near me,drag show near me,320,drag events near me:70,LOW,15,0.9355,2025-october,390,2025-december,260,1.50,10,5,2,3,3,4,2,60,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
234,"Ideas, books and learning",Museum events,hosted_content,museum events near me,museum events near me,museum events near me,20,museum late events:0,LOW,9,0.3012,2025-november,30,2025-august,10,3.00,4,4,3,3,3,4,4,60,deprioritise_as_launch_wedge,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
235,"Ideas, books and learning",Gallery events,hosted_content,art gallery events near me,art gallery events near me,art gallery events near me,10,gallery talks near me:0,LOW,25,1.1035,2025-august,20,2025-september,10,2.00,4,4,3,3,3,4,4,60,deprioritise_as_launch_wedge,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
236,"Ideas, books and learning",Live talks,hosted_content,live talks near me,live talks near me,live talks near me,0,talks near me:210,UNSPECIFIED,0,0.0000,,0,,0,,0,4,3,3,5,4,4,60,deprioritise_as_launch_wedge,touring programme in partner venues,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
237,Live culture,Stand-up comedy,spectator_culture,stand up comedy near me,stand up comedy near me,stand up comedy near me,880,comedy club near me:6600,LOW,32,0.8268,2025-august,1000,2025-december,720,1.39,12,5,2,2,3,4,2,59,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
238,"Wellness, spa and retreats",Wellbeing workshops,fitness_class,wellbeing workshops near me,wellbeing workshops near me,wellbeing workshops near me,20,wellness workshops near me:20,MEDIUM,33,2.1400,2025-september,70,2025-november,10,7.00,4,5,5,2,4,4,1,59,deprioritise_as_launch_wedge,themed social cohort through an instructor and venue partner,"Local discovery signal may mix classes, venues, clubs and events",observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
239,Live culture,Jazz clubs,spectator_culture,jazz club near me,jazz club near me,jazz club near me,9900,live jazz near me:590,LOW,32,0.1446,2025-august,12100,2026-april,8100,1.49,18,5,2,1,1,4,2,58,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
240,"Wellness, spa and retreats",Spa weekends,spa_asset,spa weekends uk,spa weekends uk,spa weekends uk,2400,spa weekend near me:1300,HIGH,100,0.8815,2026-january,2900,2025-november,1900,1.53,14,5,2,2,1,5,1,56,deprioritise_as_launch_wedge,package existing spa inventory; do not build the asset,Measures spa inventory demand rather than demand for a hosted social cohort,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
241,Live culture,Ballet,spectator_culture,ballet near me,ballet near me,ballet near me,2400,ballet tickets:590,LOW,27,1.2824,2025-september,2900,2026-june,1600,1.81,14,5,2,1,1,4,2,54,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
242,Live culture,Opera,spectator_culture,opera near me,opera near me,opera near me,1000,opera tickets:480,LOW,19,1.4468,2025-october,1300,2026-april,880,1.48,14,5,2,1,1,4,2,54,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
243,Live culture,Cabaret,spectator_culture,cabaret near me,cabaret near me,cabaret near me,590,cabaret shows near me:70,LOW,24,0.3723,2025-september,720,2026-june,390,1.85,12,5,2,1,1,4,2,52,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
244,Live culture,Classical concerts,spectator_culture,classical concerts near me,classical concerts near me,classical concerts near me,480,classical music near me:210,MEDIUM,34,1.8978,2025-november,590,2026-april,320,1.84,10,5,2,1,1,4,2,50,deprioritise_as_launch_wedge,niche programme or curation; do not begin with full production,Measures audience or venue discovery rather than stranger interaction,observed_demand_plus_inference_score,national_keyword_demand_and_format_structure,"city-level paid conversion, fill rate, repeat attendance and event-level contribution",2026-09-03
